Pro,Anti,Year,Party,Total,Index
2,16,2005,R,18,1
0,18,2005,R,18,2
1,17,2005,R,18,3
0,18,2005,R,18,4
5,13,2005,D,18,5
0,18,2005,R,18,6
10,8,2005,D,18,7
0,18,2005,R,18,8
0,18,2005,R,18,9
1,17,2005,R,18,10
1,17,2005,R,18,11
17,1,2005,D,18,12
1,17,2005,R,18,13
3,14,2005,R,17,15
17,1,2005,D,18,16
1,16,2005,R,17,17
8,10,2005,D,18,19
14,4,2005,D,18,20
0,18,2005,R,18,21
9,9,2005,D,18,22
17,1,2005,D,18,23
0,18,2005,R,18,24
0,18,2005,R,18,25
0,18,2005,R,18,26
16,1,2005,D,17,27
18,0,2005,D,18,28
18,0,2005,D,18,29
17,0,2005,D,17,30
16,1,2005,D,17,31
17,1,2005,D,18,32
1,17,2005,R,18,33
17,1,2005,D,18,35
18,0,2005,D,18,36
17,0,2005,D,17,37
17,0,2005,D,17,38
18,0,2005,D,18,39
18,0,2005,D,18,40
11,7,2005,D,18,41
1,16,2005,R,17,42
11,7,2005,D,18,43
0,18,2005,R,18,44
0,18,2005,R,18,45
17,0,2005,D,17,47
1,16,2005,R,17,48
1,17,2005,R,18,49
1,17,2005,R,18,50
18,0,2005,D,18,51
17,1,2005,D,18,52
17,1,2005,D,18,53
18,0,2005,D,18,54
17,1,2005,D,18,55
17,1,2005,D,18,56
18,0,2005,D,18,57
16,1,2005,D,17,58
17,1,2005,D,18,59
14,1,2005,D,15,60
17,0,2005,D,17,61
16,2,2005,D,18,63
17,1,2005,D,18,64
4,13,2005,R,17,65
1,17,2005,R,18,66
0,17,2005,R,17,67
10,7,2005,D,17,68
2,16,2005,R,18,69
2,16,2005,R,18,70
3,15,2005,R,18,71
17,0,2005,D,17,72
1,13,2005,R,14,73
0,1,2005,R,1,74
1,17,2005,R,18,75
1,14,2005,R,15,77
16,1,2005,D,17,78
1,17,2005,R,18,79
18,0,2005,D,18,80
18,0,2005,D,18,81
18,0,2005,D,18,82
14,4,2005,D,18,83
0,18,2005,R,18,84
1,16,2005,R,17,85
2,15,2005,R,17,87
0,17,2005,R,17,88
16,1,2005,D,17,90
11,7,2005,R,18,91
18,0,2005,D,18,93
14,2,2005,R,16,94
10,8,2005,R,18,95
12,5,2005,R,17,97
3,15,2005,R,18,98
14,4,2005,D,18,99
17,1,2005,D,18,100
2,16,2005,R,18,101
2,16,2005,R,18,102
2,16,2005,R,18,103
0,18,2005,R,18,104
3,14,2005,R,17,105
2,16,2005,R,18,106
4,12,2005,R,16,107
16,1,2005,D,17,108
2,16,2005,R,18,110
3,15,2005,R,18,111
4,14,2005,R,18,113
2,16,2005,R,18,114
4,14,2005,R,18,115
16,2,2005,D,18,117
2,16,2005,R,18,118
18,0,2005,D,18,119
17,1,2005,D,18,120
2,16,2005,R,18,121
5,13,2005,R,18,122
16,1,2005,D,17,124
3,14,2005,R,17,125
2,16,2005,R,18,126
1,17,2005,R,18,127
8,10,2005,D,18,128
11,7,2005,D,18,129
18,0,2005,D,18,131
17,0,2005,D,17,132
0,17,2005,R,17,133
2,16,2005,R,18,134
0,18,2005,R,18,135
1,16,2005,R,17,136
0,17,2005,R,17,138
1,17,2005,R,18,139
14,4,2005,D,18,140
10,8,2005,D,18,141
12,6,2005,D,18,142
16,2,2005,D,18,143
2,16,2005,R,18,145
1,17,2005,R,18,147
13,5,2005,D,18,148
17,1,2005,D,18,149
15,3,2005,D,18,150
14,1,2005,D,15,151
13,1,2005,D,14,152
0,17,2005,R,17,153
15,3,2005,D,18,155
14,4,2005,D,18,156
16,1,2005,D,17,157
7,11,2005,R,18,158
0,18,2005,R,18,159
13,5,2005,D,18,160
0,18,2005,R,18,161
13,5,2005,R,18,163
0,18,2005,R,18,164
16,2,2005,D,18,165
4,14,2005,R,18,167
0,18,2005,R,18,168
13,5,2005,D,18,169
1,17,2005,R,18,170
0,17,2005,R,17,172
0,18,2005,R,18,173
0,18,2005,R,18,174
1,17,2005,R,18,175
16,1,2005,D,17,176
2,15,2005,R,17,177
0,18,2005,R,18,179
1,17,2005,R,18,181
10,7,2005,R,17,183
9,6,2005,D,15,185
1,17,2005,R,18,186
0,18,2005,R,18,187
0,18,2005,R,18,188
0,18,2005,R,18,189
14,4,2005,D,18,191
0,18,2005,R,18,192
1,17,2005,R,18,193
0,18,2005,R,18,194
0,18,2005,R,18,195
1,17,2005,R,18,197
0,18,2005,R,18,198
15,3,2005,D,18,199
1,17,2005,R,18,200
9,8,2005,D,17,201
6,12,2005,D,18,202
0,18,2005,R,18,203
0,18,2005,R,18,204
0,18,2005,R,18,205
1,17,2005,R,18,206
17,1,2005,D,18,207
18,0,2005,D,18,208
9,9,2005,R,18,209
14,4,2005,D,18,210
17,0,2005,D,17,211
12,6,2005,D,18,213
15,3,2005,D,18,214
7,11,2005,R,18,215
15,3,2005,D,18,216
18,0,2005,D,18,217
17,0,2005,D,17,218
16,1,2005,D,17,219
18,0,2005,D,18,220
17,1,2005,D,18,221
17,1,2005,D,18,222
18,0,2005,D,18,224
18,0,2005,D,18,225
17,1,2005,D,18,226
17,1,2005,D,18,227
14,1,2005,D,15,228
14,3,2005,D,17,229
1,17,2005,R,18,230
9,9,2005,R,18,231
1,17,2005,R,18,232
16,2,2005,D,18,233
1,17,2005,R,18,234
5,12,2005,R,17,235
1,17,2005,R,18,237
1,17,2005,R,18,238
2,16,2005,R,18,239
3,15,2005,R,18,240
16,2,2005,D,18,241
15,2,2005,D,17,242
16,2,2005,D,18,243
16,2,2005,D,18,244
13,5,2005,R,18,245
0,18,2005,R,18,247
11,7,2005,R,18,248
18,0,2005,D,18,249
16,2,2005,D,18,250
2,16,2005,R,18,251
9,9,2005,D,18,253
15,2,2005,D,17,254
0,18,2005,R,18,255
14,4,2005,D,18,256
0,18,2005,R,18,257
10,8,2005,D,18,258
